EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,si_created,fn_created,si_modified,fn_modified,si_entry_mod,fn_entry_mod,si_accessed,fn_accessed,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,SourceFile,ResidentDataBase64,ResidentDataHex,ResidentDataASCII,A1_SI_Created_LT_FN,A2_SI_Mod_LT_SI_Created,A3_SI_Entry_LT_SI_Created,A4_ZeroSubSec_si_created,A4_ZeroSubSec_si_modified,A5_All_SI_Identical,MethodA_Score,MethodA_Flagged,GroundTruth_Timestomped
0,1,TRUE,5,5,.,$MFT,,485228544,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hidden|System,DosWindows,21:52.0,,21:52.0,,21:52.0,,21:52.0,,0,2098330451,256,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,0
1,1,TRUE,5,5,.,$MFTMirr,,4096,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hidden|System,DosWindows,21:52.0,,21:52.0,,21:52.0,,21:52.0,,0,33560283,256,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,0
2,2,TRUE,5,5,.,$LogFile,,67108864,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hidden|System,DosWindows,21:52.0,,21:52.0,,21:52.0,,21:52.0,,0,33560353,256,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,0
3,3,TRUE,5,5,.,$Volume,,0,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hidden|System,DosWindows,21:52.0,,21:52.0,,21:52.0,,21:52.0,,0,218806383,257,1bd190b4-f165-4534-a1a8-0a2cca9fe6d6,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,0
4,4,TRUE,5,5,.,$AttrDef,,2560,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hidden|System,DosWindows,21:52.0,,21:52.0,,21:52.0,,21:52.0,,0,33560493,256,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,0
5,5,TRUE,5,5,.,.,,0,1,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Hidden|System,DosWindows,03:44.5,21:52.0,45:37.6,21:52.0,45:37.6,21:52.0,02:24.4,21:52.0,332064992,2099381455,264,ea12b418-34fb-11f1-895c-000c2917f34b,$TXF_DATA,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,1
6,6,TRUE,5,5,.,$Bitmap,,2554728,1,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Hidden|System,DosWindows,21:52.0,,21:52.0,,21:52.0,,21:52.0,,0,2098982351,256,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,0
6,6,TRUE,5,5,.,$Bitmap:$SRAT,,68,1,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Hidden|System,DosWindows,21:52.0,,21:52.0,,21:52.0,,21:52.0,,0,2098982351,256,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,0
7,7,TRUE,5,5,.,$Boot,,8192,1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hidden|System,DosWindows,21:52.0,,21:52.0,,21:52.0,,21:52.0,,0,0,0,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,0
8,8,TRUE,5,5,.,$BadClus,,0,1,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Hidden|System,DosWindows,21:52.0,,21:52.0,,21:52.0,,21:52.0,,0,226178252,256,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,0
